species,lon,lat,oppc,n
fulanus_fulanus,-49.8,-0.95,997,1088
fulanus_fulanus,-39.133333,-16.383333,3467,1088
fulanus_fulanus,-35.002777,-7.838888,2132,1088
fulanus_fulanus,-64.79810333,-7.258609772,1994,1088
fulanus_fulanus,-55.5863518,-6.3184123,1854,1088
fulanus_fulanus,-56.09220123,-2.152220011,1142,1088
fulanus_fulanus,-70.3,-4.283333,1509,1088
fulanus_fulanus,-59.866667,-2.416667,1214,1088
fulanus_fulanus,-59.6996994,-2.699440002,1214,1088
fulanus_fulanus,-60.083333,-2.316667,1213,1088
fulanus_fulanus,-59.85,-2.383333,1214,1088
fulanus_fulanus,-58.633333,1.583333,584,1088
fulanus_fulanus,-59.96667,-2.88333,1293,1088
fulanus_fulanus,-60.29,-2.525,1213,1088
fulanus_fulanus,-59.9875349,-2.914218,1293,1088
fulanus_fulanus,-58.641726,1.580018,584,1088
fulanus_fulanus,-58.6456,1.56433,584,1088
fulanus_fulanus,-60,-1.333333,1056,1088
fulanus_fulanus,-55.768889,-11.142222,2565,1088
fulanus_fulanus,-55.435556,-11.118056,2566,1088
fulanus_fulanus,-55.468333,-11.238333,2566,1088
fulanus_fulanus,-55.27640152,-11.06169987,2566,1088
fulanus_fulanus,-55.768889,-11.143056,2565,1088
fulanus_fulanus,-55.672778,-11.006111,2565,1088
fulanus_fulanus,-50.4803009,-1.682219982,1075,1088
fulanus_fulanus,-55.789719,-12.388692,2802,1088
fulanus_fulanus,-55.483772,-11.238397,2566,1088
fulanus_fulanus,-60.3529429,-2.6996631,1213,1088
fulanus_fulanus,-48.347989,-1.106202,1000,1088
fulanus_fulanus,-59.3986,-1.8742,1136,1088
fulanus_fulanus,-54.75,-8.75,2251,1088
fulanus_fulanus,-66.75,0.3333333,726,1088
fulanus_fulanus,-52.32694444,1.04222222,676,1088
fulanus_fulanus,-60.89970016,-12.55220032,2792,1088
fulanus_fulanus,-61.7858,1.70711,578,1088
fulanus_fulanus,-51.83499908,3.843060017,203,1088
fulanus_fulanus,-48.14170074,-0.858332992,1000,1088
fulanus_fulanus,-58.933333,1.383333,584,1088
fulanus_fulanus,-51.843262,3.8237989,203,1088
fulanus_fulanus,-52.5,-1.25,1071,1088
fulanus_fulanus,-58.9458,1.38722,584,1088
fulanus_fulanus,-55.71139908,-12.54529953,2802,1088
fulanus_fulanus,-39.637139,-13.717056,2992,1088
fulanus_fulanus,-39.261111,-15.339444,3309,1088
fulanus_fulanus,-49.6725,-3.76611,1471,1088
fulanus_fulanus,-59.483333,-1.833333,1136,1088
fulanus_fulanus,-37.728611,-12.035278,2759,1088
fulanus_fulanus,-69.316667,-5.216667,1590,1088
fulanus_fulanus,-62.111056,-4.188083,1446,1088
fulanus_fulanus,-62.529667,-4.604417,1524,1088
fulanus_fulanus,-62.710444,-3.443583,1366,1088
fulanus_fulanus,-65.041944,-9.638333,2309,1088
fulanus_fulanus,-35.554842,-9.372017,2368,1088
fulanus_fulanus,-38.04169846,-12.26309967,2837,1088
fulanus_fulanus,-51.833333,0.333333,756,1088
fulanus_fulanus,-52.883333,2.2,517,1088
fulanus_fulanus,-39.01470184,-14.10309982,3072,1088
fulanus_fulanus,-47.983333,-1.5,1080,1088
fulanus_fulanus,-51.833333,-0.033333,835,1088
fulanus_fulanus,-52.916667,2.133333,517,1088
fulanus_fulanus,-39.090278,-13.328889,2993,1088
fulanus_fulanus,-39.216667,-13.85,3072,1088
fulanus_fulanus,-39.083333,-14.416667,3151,1088
fulanus_fulanus,-39.570556,-13.619444,2992,1088
fulanus_fulanus,-39.166667,-14.066667,3072,1088
fulanus_fulanus,-39.240278000000004,-13.500278,2993,1088
fulanus_fulanus,-39.0925,-13.791944,3072,1088
fulanus_fulanus,-38.895556,-13.113333,2915,1088
fulanus_fulanus,-38.016667,-12.233333,2758,1088
fulanus_fulanus,-39.32329941,-14.3125,3151,1088
fulanus_fulanus,-38.49530029,-12.51249981,2837,1088
fulanus_fulanus,-38.083333,-11.933333,2758,1088
fulanus_fulanus,-45.37170029,-1.663329959,1085,1088
fulanus_fulanus,-43.716667,-12.035278,2747,1088
fulanus_fulanus,-36.09360123,-9.78110981,2446,1088
fulanus_fulanus,-36.093611,-9.781111,2446,1088
