"biosphere","life_style","ecosystem","habitat","latitude","longitude","microGroup","meanAbu","meanRich"
"freshwater","free-living","freshwater","freshwater_biofilm",42.73774,-87.7778,"Bonafide",0.995597883463482,58
"freshwater","free-living","freshwater","freshwater_biofilm",42.73774,-87.7778,"CPR",0.00429235002469527,85
"freshwater","free-living","freshwater","freshwater_biofilm",42.73774,-87.7778,"DPANN",0.00010976651182274,5.5
"freshwater","free-living","freshwater","hot_spring",26.257222,99.990278,"Bonafide",0.940247998585751,57
"freshwater","free-living","freshwater","hot_spring",26.257222,99.990278,"CPR",0.0568477409904789,82
"freshwater","free-living","freshwater","hot_spring",26.257222,99.990278,"DPANN",0.00290426042376945,6
"freshwater","free-living","freshwater","hot_spring",40.69,-111.2,"Bonafide",0.987251902161962,52
"freshwater","free-living","freshwater","hot_spring",40.69,-111.2,"CPR",0.0120695396485319,74
"freshwater","free-living","freshwater","hot_spring",40.69,-111.2,"DPANN",0.00067855818950622,5
"freshwater","free-living","freshwater","hot_spring",40.826906,14.139142,"Bonafide",0.997526538184067,34
"freshwater","free-living","freshwater","hot_spring",40.826906,14.139142,"CPR",0.00237040090693585,21
"freshwater","free-living","freshwater","hot_spring",40.826906,14.139142,"DPANN",0.00010306090899721,1
"freshwater","free-living","freshwater","hot_spring",40.829206,14.147128,"Bonafide",0.995462566170911,26
"freshwater","free-living","freshwater","hot_spring",40.829206,14.147128,"CPR",0.00428535417191825,12
"freshwater","free-living","freshwater","hot_spring",40.829206,14.147128,"DPANN",0.00025207965717166,1
"freshwater","free-living","freshwater","hot_spring",44.655,-110.4825,"Bonafide",0.995232419547079,34
"freshwater","free-living","freshwater","hot_spring",44.655,-110.4825,"CPR",0.00357568533968999,13
"freshwater","free-living","freshwater","hot_spring",44.655,-110.4825,"DPANN",0.00119189511322999,5
"freshwater","free-living","freshwater","hot_spring",44.753611,-110.723611,"Bonafide",0.991112473184187,46
"freshwater","free-living","freshwater","hot_spring",44.753611,-110.723611,"CPR",0.00625191541526192,38
"freshwater","free-living","freshwater","hot_spring",44.753611,-110.723611,"DPANN",0.00263561140055163,4
"freshwater","free-living","freshwater","hot_spring",54.498889,159.991944,"Bonafide",0.93374850934146,57
"freshwater","free-living","freshwater","hot_spring",54.498889,159.991944,"CPR",0.0628859149330858,79
"freshwater","free-living","freshwater","hot_spring",54.498889,159.991944,"DPANN",0.0033655757254538,6
"freshwater","free-living","freshwater","hot_spring",63.90416,-22.05805,"Bonafide",0.997384269116126,34
"freshwater","free-living","freshwater","hot_spring",63.90416,-22.05805,"CPR",0.00225074517914713,22
"freshwater","free-living","freshwater","hot_spring",63.90416,-22.05805,"DPANN",0.00036498570472656,5
"freshwater","free-living","freshwater","hot_spring",64.031667,-21.196667,"Bonafide",0.979710078549019,56
"freshwater","free-living","freshwater","hot_spring",64.031667,-21.196667,"CPR",0.0185494767215516,69
"freshwater","free-living","freshwater","hot_spring",64.031667,-21.196667,"DPANN",0.00174044472942953,6
"freshwater","free-living","freshwater","lake",-24.536133,-68.21025,"Bonafide",0.991146053745239,54
"freshwater","free-living","freshwater","lake",-24.536133,-68.21025,"CPR",0.00856961489631814,81
"freshwater","free-living","freshwater","lake",-24.536133,-68.21025,"DPANN",0.00028433135844265,5
"freshwater","free-living","freshwater","lake",5.583683333,101.3451,"Bonafide",0.946038261847428,58
"freshwater","free-living","freshwater","lake",5.583683333,101.3451,"CPR",0.051535641750998,86
"freshwater","free-living","freshwater","lake",5.583683333,101.3451,"DPANN",0.00242609640157347,6
"freshwater","free-living","freshwater","lake",13.026172,53.151553,"Bonafide",0.995309539871727,55.7857142857143
"freshwater","free-living","freshwater","lake",13.026172,53.151553,"CPR",0.00415494008422789,80.3571428571429
"freshwater","free-living","freshwater","lake",13.026172,53.151553,"DPANN",0.00053552004404471,5.57142857142857
"freshwater","free-living","freshwater","lake",31.26,120.12,"Bonafide",0.997108748367842,54
"freshwater","free-living","freshwater","lake",31.26,120.12,"CPR",0.00278701295851298,70
"freshwater","free-living","freshwater","lake",31.26,120.12,"DPANN",0.00010423867364517,5
"freshwater","free-living","freshwater","lake",32.05,118.72,"Bonafide",0.995234988517019,45.6
"freshwater","free-living","freshwater","lake",32.05,118.72,"CPR",0.00466121779915988,51.6
"freshwater","free-living","freshwater","lake",32.05,118.72,"DPANN",0.00010379368382077,2.4
"freshwater","free-living","freshwater","lake",32.5046,-117.0017,"Bonafide",0.999329806100494,13
"freshwater","free-living","freshwater","lake",32.5046,-117.0017,"CPR",0.00067019389950666,2.5
"freshwater","free-living","freshwater","lake",32.5046,-117.0017,"DPANN",0,0
"freshwater","free-living","freshwater","lake",32.7753,-117.0722,"Bonafide",0.992247449951701,22.3333333333333
"freshwater","free-living","freshwater","lake",32.7753,-117.0722,"CPR",0.00710530085736062,11.6666666666667
"freshwater","free-living","freshwater","lake",32.7753,-117.0722,"DPANN",0.0006472491909385,1
"freshwater","free-living","freshwater","lake",34.18650278,49.84430556,"Bonafide",0.997624900193355,58
"freshwater","free-living","freshwater","lake",34.18650278,49.84430556,"CPR",0.00223813886313258,86
"freshwater","free-living","freshwater","lake",34.18650278,49.84430556,"DPANN",0.00013696094351242,6
"freshwater","free-living","freshwater","lake",34.18889722,49.8397,"Bonafide",0.998428299157026,58
"freshwater","free-living","freshwater","lake",34.18889722,49.8397,"CPR",0.0014873500504503,82
"freshwater","free-living","freshwater","lake",34.18889722,49.8397,"DPANN",8.435079252374e-05,6
"freshwater","free-living","freshwater","lake",34.19563889,49.83436111,"Bonafide",0.997660012127598,57
"freshwater","free-living","freshwater","lake",34.19563889,49.83436111,"CPR",0.0021845643236811,82
"freshwater","free-living","freshwater","lake",34.19563889,49.83436111,"DPANN",0.00015542354872039,6
"freshwater","free-living","freshwater","lake",40.531,-84.499,"Bonafide",0.998449705564235,40
"freshwater","free-living","freshwater","lake",40.531,-84.499,"CPR",0.00149020550414613,41
"freshwater","free-living","freshwater","lake",40.531,-84.499,"DPANN",6.008893161879e-05,2
"freshwater","free-living","freshwater","lake",40.68,-80.1,"Bonafide",0.998296939175236,24
"freshwater","free-living","freshwater","lake",40.68,-80.1,"CPR",0.0016781963362267,11.3333333333333
"freshwater","free-living","freshwater","lake",40.68,-80.1,"DPANN",2.486448853747e-05,0.333333333333333
"freshwater","free-living","freshwater","lake",42.14694444,-8.014444444,"Bonafide",0.998878416402669,48
"freshwater","free-living","freshwater","lake",42.14694444,-8.014444444,"CPR",0.00110190669211546,58
"freshwater","free-living","freshwater","lake",42.14694444,-8.014444444,"DPANN",1.967690521634e-05,1
"freshwater","free-living","freshwater","lake",54.3333,10.3333,"Bonafide",0.987879462027766,34.6666666666667
"freshwater","free-living","freshwater","lake",54.3333,10.3333,"CPR",0.0108967108581209,22.6666666666667
"freshwater","free-living","freshwater","lake",54.3333,10.3333,"DPANN",0.00122382711411375,1.66666666666667
"freshwater","free-living","freshwater","lake",55.225018,-77.69658,"Bonafide",0.941032534565495,54
"freshwater","free-living","freshwater","lake",55.225018,-77.69658,"CPR",0.0577021843015948,84
"freshwater","free-living","freshwater","lake",55.225018,-77.69658,"DPANN",0.00126528113290958,5.5
"freshwater","free-living","freshwater","lake",55.72,49.15,"Bonafide",0.999634057087094,13
"freshwater","free-living","freshwater","lake",55.72,49.15,"CPR",0.00036594291290557,1.5
"freshwater","free-living","freshwater","lake",55.72,49.15,"DPANN",0,0
"freshwater","free-living","freshwater","lake",55.74,49.15,"Bonafide",0.993890020366598,20
"freshwater","free-living","freshwater","lake",55.74,49.15,"CPR",0.0061099796334012,10
"freshwater","free-living","freshwater","lake",55.74,49.15,"DPANN",0,0
"freshwater","free-living","freshwater","lake",56.610833,-76.215,"Bonafide",0.973083793439428,56
"freshwater","free-living","freshwater","lake",56.610833,-76.215,"CPR",0.0247560761069609,85
"freshwater","free-living","freshwater","lake",56.610833,-76.215,"DPANN",0.00216013045361047,6
"freshwater","free-living","freshwater","river",-23.59413533,-46.69383645,"Bonafide",0.999446969799155,35
"freshwater","free-living","freshwater","river",-23.59413533,-46.69383645,"CPR",0.00052605311787636,27
"freshwater","free-living","freshwater","river",-23.59413533,-46.69383645,"DPANN",2.697708296801e-05,2
"freshwater","free-living","freshwater","river",-2.484383,-55.0075,"Bonafide",0.951751137445772,48
"freshwater","free-living","freshwater","river",-2.484383,-55.0075,"CPR",0.0397841498254151,59
"freshwater","free-living","freshwater","river",-2.484383,-55.0075,"DPANN",0.00846471272881176,4
"freshwater","free-living","freshwater","river",-1.919017,-55.525717,"Bonafide",0.985957132298595,44
"freshwater","free-living","freshwater","river",-1.919017,-55.525717,"CPR",0.0131189948263117,31
"freshwater","free-living","freshwater","river",-1.919017,-55.525717,"DPANN",0.00092387287509237,3
"freshwater","free-living","freshwater","river",-1.519367,-48.91795,"Bonafide",0.971716674864732,40
"freshwater","free-living","freshwater","river",-1.519367,-48.91795,"CPR",0.027791441219872,33
"freshwater","free-living","freshwater","river",-1.519367,-48.91795,"DPANN",0.00049188391539596,2
"freshwater","free-living","freshwater","river",-0.156917,-50.62255,"Bonafide",0.984705438066466,46
